Paragraph	Question	Options	Labels 	Phenomena
	Who experienced nightmares for a year and believes the toys are still alive?	Judith  // GI Joe  // the bum  // Ray Vernon  	1,0,0,0	Coref
	Who learns that Nurse Ginger is in Pahoota?	Brick, and the reporter  // Judith  // the police  // Zombietold // Ray Vernon  	1,1,0,0,0	Coref,Lex
	What are the names of the location of the toys and who is guarding/assisting them?	Toyland Warehouse and Ray Vernon.  // Toyland Warehouse, Judith  // The watertower, Ray Vernon  // The watertower, Judith  // Toyland Warehouse, the Journalist 	1,0,0,0,0	Coref,Lex,Sp-temp

 //Sent 1: The hijackers attacked at 9:28. //Sent 2: While traveling 35,000 feet above eastern Ohio, United 93 suddenly dropped 700 feet. //Sent 3: Eleven seconds into the descent, the FAA's air traffic control center in Cleveland received the first of two radio transmissions from the aircraft. //Sent 4: During the first broadcast, the captain or first officer could be heard declaring "Mayday" amid the sounds of a physical struggle in the cockpit. //Sent 5: The second radio transmission, 35 seconds later, indicated that the fight was continuing. //Sent 6: The captain or first officer could be heard shouting:" Hey get out of here-get out of here-get out of here." //Sent 7: On the morning of 9/11, there were only 37 passengers on United 93-33 in addition to the 4 hijackers. //Sent 8: This was below the norm for Tuesday mornings during the summer of 2001. //Sent 9: But there is no evidence that the hijackers manipulated passenger levels or purchased additional seats to facilitate their operation. //Sent 10: The terrorists who hijacked three other commercial flights on 9/11 operated in five-man teams. //Sent 11: They initiated their cockpit takeover within 30 minutes of takeoff. //Sent 12: On Flight 93, however, the takeover took place 46 minutes after takeoff and there were only four hijackers. //Sent 13: The operative likely intended to round out the team for this flight, Mohamed al Kahtani, had been refused entry by a suspicious immigration inspector at Florida's Orlando International Airport in August. //Sent 14: Because several passengers on United 93 described three hijackers on the plane, not four, some have wondered whether one of the hijackers had been able to use the cockpit jump seat from the outset of the flight. //Sent 15: FAA rules allow use of this seat by documented and approved individuals, usually air carrier or FAA personnel. //Sent 16: We have found no evidence indicating that one of the hijackers, or anyone else, sat there on this flight. //Sent 17: All the hijackers had assigned seats in first class, and they seem to have used them. //Sent 18: We believe it is more likely that Jarrah, the crucial pilot-trained member of their team, remained seated and inconspicuous until after the cockpit was seized; and once inside, he would not have been visible to the passengers.	Was there a normal amount of passengers on United 99-33 on 9/11?	There were many empty seats  // No.  // The flight was overbooked   // all of the passengers booked first-class seats  	1,1,0,0	Common,Lex,Coref
	How much time passed between the 1st radio mayday transmission and the second?	35 seconds.  // 35 minutes  // two minutes  // there was no second transmission  	1,0,0,0	Sp-temp,Lex
	What was below average for this particular day?	the number of passengers in the first class.  // The number of passengers on board.  //  number of hijackers  // the amount of air traffic in the skies  // the temperature  	0,1,0,0,0	Common,Lex
	Which two factors were different between the three other hijacked planes and United 93?	the day of the takeover  // The amount of time that passed before the takeover started.  // United 93 took longer and had less hijackers  // The number of hijackers  // The airline operating the planes.  // the weather and fuel used by the airplane  // the navigation system used by the planes.  // the flight booking agency 	0,1,1,1,0,0,0,0	Coref,Math,Lex
	Jarrah remained seated where during the takeover?	In his seat in first class  // the cockpit  // he preferred to remain standing  // In second class, apart from the other hijackers  	1,0,0,0	Coref,Lex
	When did the captain (or first officer) demand that the attacker "get out of here!"?	During the second radio transmission  // 35 seconds after the first transmission  // During the second radio transmission  // 5 minutes after the flight took off  // 51 minutes into the flight  // after the second transmission  // 46 seconds after the plane started to descend. 	1,1,1,0,0,0,0	Sp-temp,Lex

 //Sent 1: Bin Laden began delivering diatribes against the United States before he left Saudi Arabia. //Sent 2: He continued to do so after he arrived in Sudan. //Sent 3: In early 1992, the al Qaeda leadership issued a fatwa calling for jihad against the Western "occupation" of Islamic lands. //Sent 4: Specifically singling out U.S. forces for attack, the language resembled that which would appear in Bin Laden's public fatwa in August 1996. //Sent 5: In ensuing weeks, Bin Laden delivered an often-repeated lecture on the need to cut off "the head of the snake." //Sent 6: By this time, Bin Laden was well-known and a senior figure among Islamist extremists, especially those in Egypt, the Arabian Peninsula, and the Afghanistan-Pakistan border region. //Sent 7: Still, he was just one among many diverse terrorist barons. //Sent 8: Some of Bin Laden's close comrades were more peers than subordinates. //Sent 9: For example, Usama Asmurai, also known as Wali Khan, worked with Bin Laden in the early 1980s and helped him in the Philippines and in Tajikistan. //Sent 10: The Egyptian spiritual guide based in New Jersey, the Blind Sheikh, whom Bin Laden admired, was also in the network. //Sent 11: Among sympathetic peers in Afghanistan were a few of the warlords still fighting for power and Abu Zubaydah, who helped operate a popular terrorist training camp near the border with Pakistan. //Sent 12: There were also rootless but experienced operatives, such as Ramzi Yousef and Khalid Sheikh Mohammed, who-though not necessarily formal members of someone else's organization-were traveling around the world and joining in projects that were supported by or linked to Bin Laden, the Blind Sheikh, or their associates. //Sent 13: In now analyzing the terrorist programs carried out by members of this network, it would be misleading to apply the label "al Qaeda operations" too often in these early years. //Sent 14: Yet it would also be misleading to ignore the significance of these connections. //Sent 15: And in this network, Bin Laden's agenda stood out. //Sent 16: While his allied Islamist groups were focused on local battles, such as those in Egypt, Algeria, Bosnia, or Chechnya, Bin Laden concentrated on attacking the "far enemy"-the United States. //Sent 17: After U.S. troops deployed to Somalia in late 1992, al Qaeda leaders formulated a fatwa demanding their eviction. //Sent 18: In December, bombs exploded at two hotels in Aden where U.S. troops routinely stopped en route to Somalia, killing two, but no Americans.	Was Usama Asmurai one of Bin Laden's subordinates?	He was one of Bin Laden's peers.  // No  // Maybe  	1,0,0	Coref,Common,Lex
	Bin Laden delivered diatribes in what two locations?	Saudi Arabia  // Sudan  // Somalia  // the Arabian Peninsula  // Egypt  // the West  // Iran  // USA  // Iraq  	1,1,0,0,0,0,0,0,0	Sp-temp,Lex,Common,Coref
	Bin Laden's Fatwa was released in what year and contained wording that was originally released by what group four years earlier?	The fatwa in 1996 and its wording was similar to that of Qaeda's a few years earlier  // 1996 and al Quaeda  // The fatwa was issued in 1995 and it was similar to that of US state department's  //  The fatwa appeared in 1992 and its wording was similar to that of Qaeda's a few years earlier 	1,1,0,0	Sp-temp,Coref,Lex
	Name the country where US troops where deployed and the city where al Qaeda set two bombs.	Somalia  // Saudi Arabia  // the West  // Iran  // USA  // Iraq  // Sudan  	1,0,0,0,0,0,0	Sp-temp,Lex,Common
	Who is  Bin Laden referring to when he refers to "the head of the snake"?	US Forces  // USA  // Somalia  // Saudi Arabia  // al Qaeda  // Iran  // Iraq // Sudan  	1,1,0,0,0,0,0,0	Coref,Common
	Where did  Bin Laden go after he left Saudi Arabia	Sudan  // Somalia  // Egypt  // Saudi Arabia  // the West  // Iran  // USA  // Iraq  	1,0,0,0,0,0,0,0	Coref,Lex
	How did AL Qaeda leaders address U.S. forces' arrival in Somalia?	They formulated a fatwa  // Two hotels in Aden were bombed  // Two of their bombs exploded where U.S. troops routinely stopped.  // They send suicide bombers to their hotel  // They formulated a network  	1,1,1,0,0	Common,Sp-temp,Lex
	Who were considered Bin Laden's peers?	The Egyptian spiritual guide  // Usama Asmurai  // Wali Khan  // the Blind Sheikh  // Abu Zubaydah  // Deaf Sheik  // US Troops  	1,1,1,1,0,0,0	List,Coref,Lex

//Sent 1: Military Notification and Response. //Sent 2: Boston Center did not follow the protocol in seeking military assistance through the prescribed chain of command. //Sent 3: In addition to notifications within the FAA, Boston Center took the initiative, at 8:34, to contact the military through the FAA's Cape Cod facility. //Sent 4: The center also tried to contact a former alert site in Atlantic City, unaware it had been phased out. //Sent 5: At 8:37:52, Boston Center reached NEADS. //Sent 6: This was the first notification received by the military-at any level-that American 11 had been hijacked: FAA: Hi. //Sent 7: Boston Center TMU [Traffic Management Unit], we have a problem here. //Sent 8: We have a hijacked aircraft headed towards New York, and we need you guys to, we need someone to scramble some F-16s or something up there, help us out. //Sent 9: NEADS: Is this real-world or exercise? //Sent 10: FAA: No, this is not an exercise, not a test. //Sent 11: NEADS ordered to battle stations the two F-15 alert aircraft at Otis Air Force Base in Falmouth, Massachusetts, 153 miles away from New York City. //Sent 12: The air defense of America began with this call. //Sent 13: At NEADS, the report of the hijacking was relayed immediately to Battle Commander Colonel Robert Marr. //Sent 14: After ordering the Otis fighters to battle stations, Colonel Marr phoned Major General Larry Arnold, commanding general of the First Air Force and NORAD's Continental Region. //Sent 15: Marr sought authorization to scramble the Otis fighters. //Sent 16: General Arnold later recalled instructing Marr to "go ahead and scramble them, and we'll get authorities later." //Sent 17: General Arnold then called NORAD headquarters to report. //Sent 18: F-15 fighters were scrambled at 8:46 from Otis Air Force Base.	How much time passed between Boston's first attempt of contact and when the fighters were scrambled?	12 Minutes  // 3 minutes and 52 seconds  // 4 minutes and 52 seconds  // 4 minutes  // 2 minutes and 52 seconds  // 20 minutes  // 11 minutes  // 13 minutes  	1,0,0,0,0,0,0,0	Sp-temp,Coref
	How many military facilities did Boston Center try to contact?	At least 2  // 8  // 4  // 5  // 1  // 3  	1,0,0,0,0,0	Lex,Common,Math
	Which jet did the military scramble?	F-15s  // F-16s  // F-35 fighters  // F-18  	1,0,0,0	Common,Lex
	What is the name of the general involved in the report?	General Arnold  // Larry Arnold  // Larry Marr  // Robert Marr  // Robert Mulligan  // Larry Sanders  // General Marr  // Colonel Marr  	1,1,0,0,0,0,0,0	Coref
	What is the name of the city of the planes departure?	Falmouth  // Falmouth, Massachusetts  // Falmouth, MA  // Boston  // Cambridge  // New York City  // New York  	1,1,1,0,0,0,0	Lex,Common
	What is the name of the airbase the fighter jets where scrambled form?	Otis Air Force Base  // Griffiss Air Force Base  // Boston Center  // FAA's Cape Cod Air Base  // Boston Airbase  // New York City  // Stewart Air National Guard Base  	1,0,0,0,0,0,0	Lex,Common

//Sent 1: The White Rajahs of Borneo: In the 19th century, Borneo remained relatively undeveloped. //Sent 2: Balanini pirates, fervent Muslims, disputed the coast of northeastern Borneo (modern Sabah) with the sultanate of Brunei. //Sent 3: Sarawakâ€™s coast and jungle interior were controlled by the Ibanâ€‚â€”â€‚Sea Dayak pirates and Land Dayak slash-and-burn farmers. //Sent 4: (The Dayaks practiced head-hunting, a ritual that was believed to bring spiritual energy to their communities. //Sent 5: ) The region was unproductive and without great resources, except for the Sarawak river valley, where the Chinese mined for gold and antimony. //Sent 6: Brunei chiefs traded the metals through Americans in Singapore. //Sent 7: In 1839, the governor of Singapore sent James Brooke (1803â€“1868) to promote trade links with the Sultan of Brunei. //Sent 8: He had been an audacious cavalry officer in the Anglo-Burmese wars and now exploited the situation for his own benefit. //Sent 9: In exchange for helping the regent end a revolt of uppity Malay chiefs, Brooke was made Rajah of Sarawak in 1841, with his capital in Kuching (founded by the Malays just 11 years earlier). //Sent 10: He tried to halt the Dayaksâ€™ piracy and head-hunting while defending their more â€œmorally acceptableâ€ customs. //Sent 11: His attempts to limit the opium trade met with resistance by the Chinese in Bau, who revolted. //Sent 12: His counter-attack with Dayak warriors drove the Chinese out of Bau and across the Sarawak border. //Sent 13: Thereafter, Chinese settlement was discouraged and did not achieve the commercial dominance it enjoyed on the peninsula. //Sent 14: In 1863, Brooke retired to Britain, handing Sarawak over to his nephew Charles. //Sent 15: More reserved and remote but a better administrator and financier than his uncle, Charles Brooke imposed on his men his own austere, efficient style of life. //Sent 16: He brought Dayak leaders onto his ruling council but favored the time-honored colonial practice of divide-and-rule by pitting one tribe against another to keep the peace. //Sent 17: Northeast Borneo (Sabah) was â€œrentedâ€ from the Sultan of Brunei by British businessman Alfred Dent. //Sent 18: Dent was operating a royal charter for the British North Borneo Companyâ€‚â€”â€‚a charter similar to that of the EIC.	What kind of metals did Brunei chiefs trade through Americans in Singapore?	gold  // antimony  // opium  // copper  // Silver  	1,1,0,0,0	Coref
	Who had been an audacious cavalry officer in the Anglo-Burmese wars?	James Brooke  // the future Rajah of Sarawak  // Charles Brooke  // a former British businessman  // Alfred Dent	1,1,0,0,0	Coref,Sp-temp
	Who tried to limit the Chinese opium trade?	James Brooke  // the Rajah of Sarawak  // Malay chiefs  // Charles Brooke  // James Brooke's nephew  // Dayak leaders  	1,1,0,0,0,0	Coref,Sp-temp

 //Sent 1: Peace and Prosperity: After years of government propaganda predicting the worst atrocities, most Japanese civilians were surprised at the warmth and friendliness of the occupying forces. //Sent 2: The postwar period began, however, with millions of displaced people homeless and starving. //Sent 3: To counter a perceived communist threat from the Soviet Union, the US quickly set to work reconstructing the economy by transforming Japanâ€™s institutions and devising a new pacifist constitution. //Sent 4: Article 9 renounced Japanâ€™s right to maintain armed forces, although the ambiguous wording was later taken to permit the creati on of a â€œself-defenseâ€ force. //Sent 5: The zaibatsu conglomerates that had proved so instrumental in boosting Japanâ€™s militarism were disbanded, later to re-emerge as the keiretsu trading conglomerates that dominated the economy once again. //Sent 6: The entire economy received a massive jump-start with the outbreak of the Korean War, with Japan ironically becoming the chief local supplier for an army it had battled so furiously just a few years earlier. //Sent 7: The occupation lasted until 1952, having already planted the seeds for Japanâ€™s future stunning economic success. //Sent 8: Economic output was back to prewar levels, and British auto companies provided the support needed to get Japanâ€™s auto industry back on its feet. //Sent 9: Japanese companies then enthusiastically imported any Western technologies they could get their hands on. //Sent 10: This included transistor technologyâ€‚â€”â€‚invented in the US but then considered to have only limited applicationsâ€‚â€”â€‚for the surreal sum of $25,000. //Sent 11: It was Japan that produced the worldâ€™s first transistor radio. //Sent 12: The electronic technology spurt that followed is now legendary. //Sent 13: Parliamentary democracy finally came into its own, albeit with distinctly Japanese characteristics reflecting the dislike of debate and confrontation and the group-oriented preference for maintaining the appearance of harmony at all times. //Sent 14: The government, through the powerful Finance Ministry and Ministry of International Trade and Industry, generously supported favored private corporations: first shipping, then cars, then electronics firms basked in the warmth of the governmentâ€™s loving attentions. //Sent 15: Japan overtook Britain economically in 1964. //Sent 16: By the end of the decade, Japanâ€™s was the third largest economy in the worldâ€‚â€”â€‚less then two decades after the war had left the country in ruins. //Sent 17: Prosperity was not without its own problems: pollution caused by â€œdirtyâ€ industries, a high incidence of stomach ulcers (even suicides) among schoolchildren pressured by over-ambitious parents, and the awkward questions of what to do about nuclear energy. //Sent 18: The famous coziness among politicians, bureaucrats, and private companies, together with the strong cultural emphasis on relationship-building and a lack of transparency and accountability, eventually led to corrupt practices of endemic proportions.	To create the world’s first transistor radio, Japan used technology originally founded in what country?	US  // United States of America  // Soviet Union  // Japan  // Korean  // England  	1,1,0,0,0,0	Lex, Common

//Sent 1: Crusaders, Mamelukes, and Turks: The Crusaders established a feudal Christian state with Godfrey at its head. //Sent 2: They built many impressive churches during the term of the first Latin Kingdom of Jerusalem, but in 1187 they were driven out by Muslim forces under the great warrior Saladin. //Sent 3: During the Sixth Crusade (1228â€“ 1229), the Holy Roman Emperor Frederick II managed to secure Jerusalem for the Christians by negotiation. //Sent 4: The Christians, however, could not hold the city. //Sent 5: After they lost Jerusalem, a Mongol invasion swept through, and in 1244 the Mameluke dynasty of Egypt took control, ruling Jerusalem for the next 250 years. //Sent 6: The city struggled to rebuild from Crusader wars and invasions. //Sent 7: Much of the best Islamic architecture in the city was constructed in the Mameluke era, but the past thousand years had taken their toll: Jerusalem was unable to regain the prosperity it had enjoyed in earlier times. //Sent 8: In the early 16th century, the Ottoman Turkish Empire was advancing through the Middle East. //Sent 9: Jerusalem fell to the Ottomans in 1517, remaining under their control for 400 years. //Sent 10: Suleiman the Magnificent rebuilt the walls and gates in the form they retain to this day. //Sent 11: Fountains, inns, religious schools, and barracks were constructed. //Sent 12: But when Suleiman died, his empire, including Jerusalem, began a long period of decline. //Sent 13: The Holy City remained a backwater until the 19th century, when renewed interest among Christian pilgrims made it the destination of thousands of travelers each year.	What happened during the Sixth Crusade with the Christians?	Holy Roman Emperor Frederick II managed to secure Jerusalem for the Christians by negotiation.  // They gained Jerusalem but lost it shortly after.  // Christians gained control of Jerusalem  // The Mameluke Dynasty took control of Jerusalem  // The Ottoman Empire took control of Jerusalem  // the muslims were able to overtake the territory  // Saladin took over Jerusalem  	1,1,1,1,0,0,0	Common,Cause,List,Coref
	What happened to Jerusalem after the Christians lost it?	a Mongol invasion swept through  // Jerusalem's prosperity dwindled  // The Mameluke dynasty took control and struggled to rebuild it.  // A lot of Islamic art was created in Jerusalem.  // Rome's prosperity dwindled  // Jerusalem became rich  // the muslims left and went elsewhere 	1,1,0,1,0,0,0	Sp-temp,Common,Coref,Lex
	Who built many impressive churches during the term of the first Latin Kingdom of Jerusalem?	Mameluke Dynasty  // The Crusaders  // Hebrews  // Jews  // the Muslims  // Christians  	1,1,0,0,0,0	Coref
	During the Sixth Crusade, what city could the Christians not hold?	Jerusalem  // Tel Aviv  // Constantinople  // Islam  // Rome  	1,0,0,0,0	Coref
	Who had fountains, inns, religious schools, and barracks constructed in Jerusalem?	Suleiman the Magnificent  // Alexander the Great  // the christians  // Caesar Augustus  	1,0,0,0	Cause
	Who was driven out by Muslim forces under the great warrior Saladin in 1187?	The Crusaders  // Gladiators  // Templars  // the muslims  	1,0,0,0	Coref

 //Sent 1: Brad, Texas (CNN) -- Authorities were working on plans Friday for residents who were forced to flee a wildfire in northern Texas to return home, a day after firefighters made progress battling the blaze that destroyed dozens of homes. //Sent 2: The blaze in Palo Pinto County scorched 6,200 acres by Thursday, according to the Texas Forest Service. //Sent 3: The fire is burning near the resort of Possum Kingdom Lake, near the town of Brad, about 100 miles west of Dallas. //Sent 4: "We feel much better about this fire today," as the blaze is now 50% contained, said John Nichols, a spokesman for the Forest Service. //Sent 5: He said evacuations were lifted for some residents forced to evacuate the fire, which was driven by high temperatures and dry winds. //Sent 6: The wildfire has destroyed 40 homes and nine RVs since it began Tuesday, the Forest Service said Thursday. //Sent 7: Firefighters were receiving support from aerial tankers and helicopters. //Sent 8: Authorities are mapping out plans to allow residents to return to their homes, said Palo Pinto County Sheriff Ira Mercer. //Sent 9: Authorities also are trying to open the lake for the Labor Day holiday, he said. //Sent 10: On Wednesday, evacuations were ordered in several communities on the north side of the lake after the fire charged over a ridge and approached a dam on the lake, CNN affiliate WFAA reported. //Sent 11: The wildfire was moving so fast that the Forest Service pulled out of its command observation post, telling journalists and onlookers to get out of the way of the fire. //Sent 12: "My house is right through here, though it may be gone," Tom Hardeston told WFAA as he watched the fire. //Sent 13: Nearby ranchers battled to save their herds from the encroaching fire. //Sent 14: "I'm just moving them from pasture to pasture," Cindi McCoy told WFAA, referring to her livestock. //Sent 15: "As one pasture burns, I'm moving them back to that one and bring(ing) them back around."	What is the present state of evacuations?	Some evacuations were lifted.  // Some residents on the north side of the lake were evacuated.  // Evacuations are ongoing.  	1,1,0	Sp-temp,Common
	What is the extent of the damage?	Dozens of homes, at least 40 damaged.  // Dozens of homes, at most 40 damaged.  // 9 RVs have been destroyed  // not much damages  	1,0,1,0	Common,Lex
	Cindi McCoy spoke to an affiliate of which major news network?	WFAA  // CNN  // WNBC  // the Forest Service  // Palo Pinto County Sheriff Ira Mercer  	1,1,0,0,0	Coref
	Possum Kingdom Lake is in which Texas county?	Palo Pinto County  // Brad  // Texas  // Texas Forest  	1,0,0,0	Sp-temp
	Why was Cindi McCoy moving her livestock?	To keep them safe.  // To stop the wildfire.  // To save money.  	1,0,0	Coref, Common
	What holiday was approaching when they were they trying to get Possum Kingdom Lake open during the wildfire?	Labor Day  // Memorial day  // Possum appreciation day.  // The returning home day.  	1,0,0,0	Coref,Sp-temp,Common
	When was the blaze 50 percent contained?	Friday  // Tuesday  // Thursday  // Wednesday  	1,0,0,0	Sp-temp
	How many days has the fire been active?	At least three days  // One  // Two  	1,0,0	Sp-temp
	Why have spirits begun to rise amid wildfires?	Fire is contained to a big part.  // Residents can return home since fire danger is mostly gone.  // Everything is already burnt.  	1,1,0	Common,Cause

//Sent 1: Suddenly, Amy screamed.//Sent 2: I whirled around and threw up my arm just in time to knock Dvorov away.//Sent 3: His eyes were glowing red, and he had bared a set of fangs that could probably take my hand off.//Sent 4: The dancers near us tried to clear some space.//Sent 5: He shot back up, hardly touching the ground, and I kicked him back.//Sent 6: He jumped at my arm while I was still off-balance, and I felt the surge of adrenaline that comes right when your body realizes that itâ€™s too late to save itself.//Sent 7: A heavy thing hit my arm with a thump and knocked me back against someone with rough paws who held me up.//Sent 8: On the floor was Dvorovâ€™s head, separated from his body by several feet and a growing puddle of dark blood.//Sent 9: Nepthys stood over him with a blue sword in his hand.//Sent 10: It flashed in the strobe where it wasnâ€™t streaked with Dvorovâ€™s blood.//Sent 11: â€œHe wasnâ€™t the only one with a secret or two,â€ he said by way of explanation.//Sent 12: â€œYou spotted our boy, didnâ€™t you?//Sent 13: I bet his hide-out is nearby, too.//Sent 14: Letâ€™s hurry.â€ He wiped off the sword and sheathed it in a scabbard now belted to his hip.//Sent 15: The crowd parted for us.//Sent 16: The vampire glanced up when he saw the crowd split and his eyes flashed when he noticed us.//Sent 17: In a blink of the strobe light, he was on his feet and dashing from the room.//Sent 18: â€œCome on!â€ shouted Nepthys.//Sent 19: We chased after him, Amy keeping up valiantly behind us.//Sent 20: He bashed up a set of stairs set into the side of the wall, and we chased up after him, heading up a huge staircase that seemed to go up for more stories than the building could have held.	Who used the sword and began the chase?	Nepthys  // the vampire  	1,0	Coref,Sp-temp
	What is the vampires name?	Nepthys  // Dvorov  // dvord  	1,1,0	Coref,Common
	Who cut off Dvarovs head?	Nepthys  // the wolf  	1,0	Cause,Sp-temp,Common,Coref
	Who has a set of fangs with eyes glowing red?	wolf  // Dvorov  // his eyes flashed  	1,1,0	Coref
	Who said "let's hurry?"	Nepthys // the wolf  	1,0	Coref
	What was the weapon used to separate Dvorov's head from his body?	A Blue Sword  // a sword  // a hook  	1,1,0	Common
	Who dashed from the room in the blink of a strobe light?	The Vampire  // the wolf  	1,0	Coref

